pid,sentence1,sentence2,label
67912,I want to pay the landline bill,Landline Bill payment,1
50772,i want discount on flight booking,Please tell me best domestic flight offer,0
41238,Help me about GCAP,about GCAP,1
59503,its not working,pin not working,0
15302,My order ID is right,That was the right ID only,1
70762,I would like to change my  exercise reminder,reminder jog,0
28092,What will be the premium for Total Secure,Explain the Total Secure plan,0
63502,I would like to save for a wedding of my own choice,wedding of my choice,1
61957,Can't find order ID.,Can you tell me where is my order ID?,0
35924,Please help me with booking flight tickets,Book a flight,0
17995,I want to check flights,I want to check flight bookings,1
66935,i want to go to bengluru,Ok i will tell you whenever I want to go,0
39069,where will cashback be used,Where is my cb,0
72010,i want flights from mumbai to delhi,14 th feb morning flight to goa 7 adults 2 kids,0
36496,what is lab ID?,I want to know my lab ID,0
70838,calculate premium for total secure,May I please know the Premium for Total Secure,1
38106,OTP is not working please resend,password is not working please resend,1
61046,What are the types of SUPER GAS LPG Bulk Installation?,What is the frequency of SRV Testing in LPG Bulk Installation?,0
10945,any cashback on flight booking,Book a flight,0
13399,want Flight Tickets,I want to book flight tickets for Christmas,0
30298,Do you supply LPG for industrial corporate customers?,Supply of LPG for Industry use,0
11457,How will I get my winnings into my bank account?,how do you get the scores?,0
35598,I want to book ticket,Not looking to book anything,0
27745,want to purchase Flight Tickets,I want to book round trip,0
6615,i need your number,Can I have your number,1
32035,like to purchase Flight Tickets,suggest me Flight Tickets,0
75368,"If the name of my company has changed, how do I update it?",What is a procedure to change the company name,1
60800,change zodiac sign,My zodiac sign is,0
25585,What are offers for mobile bill payment,can i pay by phone bill,0
18446,Mutual Fund,I want a mutual fund,0
56345,am I eligible for any gk prize today,May I know the gk prize,0
1903,modification Reminder to Call,call to remind jog,0
4794,Not a Indian resident,I am a Non Indian Resident,0
2250,Who are playing today's ipl match,Who won the IPL match yesterday,0
15604,I need to book tickets,I want to book bus tickets for Diwali,0
54735,Landline bill airtel,Land line bill payment?,1
38561,Check Cricket Score & Rank,Yesterday cricket Leaderboard,0
4126,Procedure to convert,procedure to transfer shares?,0
21230,Modify this exercise reminder,schedule a reminder jog,0
18053,how to update Nominee?,Update nominee,1
49890,modification medicine reminder,Modify this medicine reminder,0
67709,child abuse,physical abuse with child,1
72467,I dont have a SIM,sim is not active,1
38099,show me available resorts,Check available resorts,0
14368,i am not getting services from relationship manager,i am not getting services from RM,1
11246,any offer running on flight booking,Book flights,0
39637,Any cashback on ola tickets?,Are there any offers,0
53934,check train status,I want to check PNR status of my train ticket. Can you help me?,0
72638,Check yesterday's GK leaderboard,Check yesterday's cricket leaderboard,0
57102,why are you charging convenience fee,How much convenience charge for domestic flights booking,0
41204,Can the vouchers be used by my tenant?,childre use voucher,0
16805,I find cheap at other sites,show cheapest,0
26875,Please help me with booking flight tickets,like to buy Flight Tickets,0
37878,Cash Bonus Not received,Cash bonus not showing,1
17834,Why documents required,Upload required documents,0
69165,Give me best offers on flights,Can u find good Hotels,0
70321,Can you Give me pin number now,Can you give me pin on chat,0
59756,i want to check for test,check test info,1
19983,Motivate me,motivation quote,0
1867,want reminder for medicine,I want to search for a reminder,0
24159,I would like to change my  exercise reminder,make a reminder exercise,0
3192,how to apply for offline payout,I want to apply for IPO,0
10339,Why m i not getting results,Why m i not getting answers,1
65061,can u give me ur number,i need your number,1
1173,book ticket from mumbai to pune,Please proceed with below flight from Delhi to Bangalore for 1 adult onward flight air dep 00 00 1 dec dep 00 00 1 dec,0
30629,Please send boarding pass by mail also,did not receive the boarding pass on email,1
58712,i want to buy a wifi package,how to buy,0
27393,Getting error while getting connected,Everytime I try to login I get an error message.,0
7154,New flight booking,want to buy Flight Tickets,0
4677,Still not received Amazon Cashback,Cashback not receive,0
56275,show train from mumbai to delhi,want tickets from mumbai to pune,0
51247,i want offer on flight booking.,Some awesome cashback offers on flights.,0
10404,I have looked but cannot find my customer ID,I cannot find my ID,0
25110,Link to download this app on PC,download the app?,0
6934,Want to book flight from Mumbai to Delhi,I want to book flight tickets for ID-E-MILAD,0
48007,train tickets booked,book train tickets,1
59895,Do you allow new supply through digital platform?,Can I order for the new connection through phone or any digital platform ?,0
19728,i need to go for liver test,Go to hell,0
51628,friends childer use voucher,use voucher,0
56996,Want to book my seat,Can you book seats for me,1
51423,What are the Survival benefits?,What will be the Survival Benefits of saral nivesh,0
12282,change nominee details,How can I change nominee for NSDL account,0
3972,Your price is high in comparison with goibibo,Your Prices too high,1
59172,How much amount I will get cash back if I book this flight,Let me know if there are any cash back offers,0
8275,Order ID is correct,I've already given the correct ID.,0
20751,I want to book flight,book flight later,0
49886,Book a flight from Mumbai to Delhi,Can I get the fare rates of flights from Amritsar to Hyderabad for Dec 3,1
7580,Email me my flight tickets,recommend me Flight Tickets,0
45549,I need to download the payment receipts,I want to download report,0
20893,like to purchase Flight Tickets,I want the boarding pass for my flight,0
64007,I want to know key features of My life,what are the key features,0
1986,Stop all reminders,show all my reminders,0
27559,give more words,Show another,0
12109,I want to see property,How to see account on mobile,0
68540,I am a indian resident,non resident indian,0
40419,how to join a cash contest,how to i win a cash contest,0
57450,Send me a joke daily,sorry i dont want send a joke daily,0
36304,Tutorial for trains coupon code,How can I enter coupon code in flights,0
46199,tell me another word,Tell another joke,0
55866,"I have holdings in my Demat account, can I close my Demat account without transferring my shares?",How can I transfer my shares?,0
25259,pay entry fee on contests,My entry fees has been refunded,0
39960,Check GK Score & Rank,previous GK leaderboard,0
62394,survival benefit of GCAP,Need to know the Survival Benefits,0
3899,My Cashback not received,Still not received Amazon Cashback,0
26897,cash back on dth.,Cash back not receive,0
34027,I want to book ticket,I want to book flight tickets for New Year,0
6218,That was a valid order ID,Please help me find my order ID,0
39720,How much discount the coupon code has,How can I add coupon code in flights,0
58224,domestic flights booking,Domestic,0
6785,still cant connect my device,Still can't connect,0
64175,Where is the cash back,Cash back has not come,0
6103,cannot see reliance,Cannot see Andhra Pradesh Power Generation Corporation,0
5388,I would like to book a flight ticket,Please help me with flight booking,0
20163,need visa details,Visa,0
12558,where will cashback be used,where is my cashback,0
13529,remove my reminder,I need to cancel a reminder,1
63525,What about the refund for PNR 08QI6D,Can you check about the refund,0
24580,send me your photo,Your pic pls,1
45770,remove reminder,I would like to cancel my Reminder,1
41553,modification medicine reminder,want reminder for medicine,0
67867,Any coupon available?,I recharged my mobile using phonepe and I cant find any cashback,0
5184,I want change my reminder,modify a reminder,1
6460,I want discounts on flights,Tutorial for flights offers,0
27026,looking Flight Tickets,I want to book flight tickets for Christmas,0
5715,Send me flight timings from Mumbai to Bangalore,Is the flight on time,0
39239,not getting my password,I have not got bonus,0
26144,Need hotel,Do you provide hotel booking,1
20988,show timings colors bangla,Show timings for MTV,0
71961,I want to know about surge pricing,Would like to know the approx fare,0
3892,Still not receive on my mail,Still no contact,0
32990,Can u send me your number,I want ur number,1
56941,make a reminder walk,set reminder walk,1
8044,There is an error in my statement of accounts,error in statement of accounts,1
67648,I have tried to make payment but it failed,Cant make payment,0
10795,I want to book flight tickets.,Hi! I want to book a bus ticket.   .,0
28133,I want to book flight,Please help me with booking flight tickets,0
56300,Train booking,booking train tickets,1
568,show me Jet Airways flights,can you look for airasia,1
31289,cricket winner announcement,Check  cricket winners list,1
65855,I want flight rate,Send me flight timings from Mumbai to Bangalore,0
9745,Information on VISA and insurance,visa information,1
53400,I can't find my order ID.,My order ID is right,0
33374,link a demat account,demat account,0
58691,i want to know something about teams,I want to know something about fairplay and legality,0
21835,my otp is not working,Didnt work,0
57254,I want the Premium amount for Total Secure,Give me information of Total secure,0
14552,Email Id to send the proposal for organising events,Contact details for organising events,0
15814,I want discounts on train booking.,Train booking,0
44305,set a reminder drink water,schedule a reminder medicine,0
4219,Transfer and conveyance charges,conveyance charges,1
561,I have done shopping,today I have done shopping,1
38353,show reminders,want reminder for wake up,0
21577,What are the important features of My Life,important features of total secure,0
3306,Find me a train,want trains to,1
42156,This is the correct order ID,The order ID is right,0
10839,list of my reminder,want reminder for ,0
52852,Motivate me,Motivational reminder,0
22516,I want flight rate,suggest me Flight Tickets,1
37702,total secur,I want to know the key features of Total Secure,0
5578,How often does the state government issue a ready reckoner indicating market value of properties ?,"What is meant by the market value of the property ?

Is Stamp Duty payable on the market value of the property or on consideration as stated in the agreement ?",0
29331,Cancel wake up,stop wake up call,1
6728,story of colonel sanders,colonel story,1
38665,Hey I would like to play the Haptik Play & Win Quiz .,remind me to play the haptik quiz,0
73693,I want to book flight tickets.,Can you check flight ticket availabilty,0
36015,I want to know the lab opening timings in morning,i don't know my lab ID,0
63170,Airfare is included all the time?,airfare included in customised package,0
38474,suggest me nearby atm,find nearby,0
15287,Planning to go for trip to goa,I want to set reminder for price drop,0
24524,Call not received,i have not received bonus,0
5028,reminder for medicine,make a reminder medicine,1
17607,Please mail me tickets,Please send boarding pass by mail also,1
28192,share nearby atm,Share nearby cinema hall,0
27882,This is the right ID,My order ID was right,1
7224,i didnt received my cashback yet??,Didn't receive Refund,0
53926,decision to lend money,who am i lending to?,0
18509,What are the key features of GCAP,What are the key features of WAAC,0
9988,any discount on flight booking,Book flights,0
17403,dense jungle resorts,jungle resorts,1
66525,My rank in cricket?,Show me my ranking cricket,1
53067,I need information about your corporate structure,I need information about new serials,0
9245,find Flight Tickets,like to buy Flight Tickets,0
16231,How can you help me?,Explain how you can help me.,1
3403,test price,price,0
357,i need wifi,Need Wifi password,1
16248,Interest,Tax on Interest,0
28399,email id of concerned,Your email id,0
57901,I am having problem in Login,facing issues with the login page,0
30949,Please remind me about today's arrival of train,Sure! Remind me about it,0
75333,How to get promocode,I havent get cashback,0
23033,benefits of inviting friends,earn by inviting friends,0
72003,find me plumber nearby,need a plumber,1
22966,Business Loan,need loan for business,1
13006,I want to know lab number,I want to know my lab ID,0
241,Option 2,Option,0
23541,unable to download,How to download,0
1803,I can't find my order ID.,Where can I find my order status?,0
50902,I gave a true order ID,That was the right order ID,0
18309,Please mail me the previously booked flight ticket,Book a flight,0
38835,want to purchase a better plan,how to purchase,0
70789,Visa for singapore,Visa,0
1356,Already it is booked for home collection,can I book a home appointment?,0
4394,Yes I am married,married,0
71007,Require Password for Trading Account,require password for TT Edge,0
7221,i want discount on flight tickets,Tutorial for flights coupon code,0
55669,I need to book tickets,I want to book flight tickets for Guru Nank Jayanti,0
74404,i need my refund,Please refund,0
33600,stop alert train live status,stop alert flight,0
60734,are there any offers,Are there are any inspections charges,0
63450,show flights on,I want flight status,0
32823,Order ID is correct,Can't find order ID,0
41820,How to get promocode,Why no cashback got,0
7019,Where can I buy IPL tickets,Can you book IPL tickets,1
7884,I want offers on flights,any cashback on flight tickets,0
70220,drawbacks of root canal,root canal process,0
64333,Any cashback on recharges,Any offers,1
30357,Please give me your pic,Please give your number,0
12009,I need your help,can u give me ur number,0
51881,works,Didnt work,0
18746,How much I will hate cash back,cash back not credited,0
56811,stop reminders,I want to delete my reminder,1
34269,show yesterdays bollywood leaderboard,Yesterday bollywood Leaderboard,1
25713,I want change my reminder,change reminder,1
50678,I need to book a flight,like to buy Flight Tickets,1
7613,I gave the correct ID.,That order ID is correct,1
14192,How to find the lab id,how to check,0
41436,no login page,how to see login page,0
4996,flights to Dubai,Can I get the fare rates of flights from Amritsar to Hyderabad for Dec 3,0
27321,Where is my cash back ?,Cash back when I will get,0
44553,Help me with the Premium for Total Secure,how much is the premium for Total Secure,1
16572,How can I get my Lab ID no,My lab ID is,0
2634,Are there any discount or cashback offers,any offers currently available on flights,0
27395,This is the right ID,I gave the right ID,0
21038,not receiving pin to connect,received pin,0
17120,Why 33 kg cylinders and not 47.5 kg cylinders?,33 KG Cylinder,0
7327,i want offer on flight booking.,I want offers on train tickets,0
61236,What will be the premium for Criticare,Need your help to know the Premium for criticare,1
71532,any offer on flight booking,Are there any discount or cashback offers,0
53794,What if I find cheaper tickets elsewhere,I can find low fares on other sites,0
11403,Help me with Survival benefits,What will be the Survival Benefits of GCAP,0
72269,book  cab to home,Book a cab to work,0
45993,How much water should I drink,send me reminder to drink water,0
178,I am getting the ticket on mmt for 5800,I didnt get the ticket in email,0
11924,show me flights from mumbai to pune,recommend Flight Tickets,0
44520,Cash back not received Amazon pay,Cash back how much,0
50651,I want to book flight tickets for Diwali,I need to book tickets,0
45212,i want offer on flight tickets,I want to book flight tickets.,0
64822,need flights from mumbai to pune,please show me return flights from,0
1672,Please mail me tickets,I want my tickets emailed,1
40450,AC outlet design,get ac unit,0
28152,i need help with the login,I need some help at the hotspot,0
32430,show me your photo,i need your number,0
74501,marathi keyboard not working,citizen login not working,0
64509,Give 10 miss,show for 2 adults,0
67459,may i know the rate of the test,test price,1
15251,schedule a reminder exercise,reminder for jog,1
7727,lab no is not mentioned,Password is not mentioned in the bill,0
6231,Trade Listings,trade listing reports,1
12443,Muje cash back nahi mila,Cash back not recieved,0
10193,By when I can get the report?,I haven't got my reports,0
12516,am I eligible for any gk prize today,How to avail prize gk,0
38013,reminder medicine,want reminder for medicine,1
4840,provide me a joke,Need jokes everyday,0
47505,Alert me when prices goes down,Give a update about that when the price is less,0
45714,I want to check flights,Check flight between cities,0
39946,any cashback on flight tickets,"Hey, I want to book a flight ticket .",0
6288,When the results will going to come,I want to go to penang from ahmedabad,0
13939,pay entry fee for contests,Entry fees is refunded,0
24155,Got my OTP,did not get One time password,1
3622,Who is this haptik,who r u,0
75283,suggest Flight Tickets,I want to book flight tickets.,0
24134,"Hey, can you help me with flight .","Hey there, can you help me with flights? .",0
76167,Play,I want to play,0
26824,I need to book tickets,do i need to book an appoinment,0
7509,I wanna fly to hyderabad,flights to Dubai,0
40653,modification medicine reminder,Medicine Reminder,0
50778,how to apply for vle,apply for vle,1
16989,I did not get cashback,When will i get cashback,0
30763,cash back not received,Did not receive cashback,0
5635,My order ID is right,That ID is right,1
3912,No one gave me the lab/Visit ID no,No one came for sample collection,0
41946,show  Flight Tickets,Please help me with booking flight tickets,0
27549,That's the right order ID,Can you help me find my order ID?,0
1237,how to delete the app,how to give feedback,0
72683,looking for Flight Tickets,show me flights without any stop,0
9891,Are there any discount or cashback offers,any offers currently available on flight tickets,0
34146,looking Flight Tickets,want to buy Flight Tickets,0
3998,call to remind walk,remind me my walk,1
16055,Show more,Show me more return flights,0
16414,show me the joke,Send me jokes everyday,0
23488,I want to check status of a flight,i want to check in,0
44348,you guys are charging convenience fees,How much is ur convenience charge for flight booking,0
2012,found cheaper fare,cheapest fare guarantee,0
60605,what is the procedure to change the address,change address,1
30798,So much of hassle for International travellers,"I have no service, I am a International traveller",0
66097,Show me some offers on flights.,Tutorial for flights cashback,0
5067,what is the sale period,sale period,1
42365,wake up reminder modify,modify my reminder,1
22008,i want to go from mumbai to pune,I want to go to penang from ahmedabad,1
24029,what is eligibility criteria,Eligibility Criteria for tsp,0
66600,got the password,didnt get password,1
34626,Visa required,Is Visa required for Dubai,1
24751,Want to book flight from Mumbai to Delhi,check price for flight from mumbai to pune,1
28171,I want to know fare for full month,I want to know fares of flights,0
73319,is there any coupon for electricity bill payment,I want to pay  electricity bill,0
70381,Order ID is correct,I gave a true order ID,0
73121,nearby night club,night club,1
55321,Please book a flight,Please help me with booking flight tickets,0
13918,Can u email me flight tickets,looking Flight Tickets,0
235,Still it is not getting connected,not getting One time password,0
36461,Can't find order ID.,I don't know my order ID,0
40821,my tv is not working,battery not working,0
71521,Need your help to check the Key Features of GCAP,what are the key features,0
37662,i have a free coupon code,i have a free coupon,1
44179,Give me cash back,Cash back has not come,0
41020,Send me flight timings from Mumbai to Delhi,looking Flight Tickets,0
36900,Home Loan,co-applicant is mandatory for home loan,0
60805,I wanna know about Survival Benefits,survival benefit of saral nivesh,0
54565,i dont want to withdraw my winnings,Not able to withdraw cash,0
56248,inclusions in corporate tours,customize corporate tours,0
66080,What will be the Survival Benefits of saral nivesh,Can you share the Survival benefits?,0
7525,Which type of steel do you use?,any special grade steel used for cylinders,0
20317,Bus tickets,bus,0
48753,Stop sending details about flights,Stop these messages about flights,0
37873,Visa,need visa details,0
64268,The order ID is right,That was the right order ID,0
74719,I didn't get wining amount in my bank account,Not getting OTP,0
9270,link paytm account,Unlink paytm account,0
12766,looking Flight Tickets,I want to book flight tickets for ID-E-MILAD,0
36366,Updation of Core banking number,Can core banking number be updated.,1
9829,Another adult joke,adult joke,1
61829,looking for Flight Tickets,to buy Flight Tickets,0
20598,to buy Flight Tickets,I want to book bus tickets,0
59674,train times,Tell me train time,1
11722,kya hindi aati hai,Tumko Hindi aati hai,1
70474,My star-sign is,I dont my star-sign,0
45568,suggest me close by gas station,suggest me close by pharmacy,0
6745,No more reminders for today,I would like to view more reminder,0
39631,send me reminder to drink water,want reminder for medicine,0
6972,i need help with the login,I need some help with the wifi at the airport,0
6245,When will a policy holder receive survival benefits?,Survival Benefit,0
2265,what type of reminders can you set,set reminder jog,0
74115,want to start repaying my loan,Can you help me in repaying the loan,0
21939,tell me about discount deal on flight booking,Show me some offers on flights.,0
55972,I want to check the status of my order,i want to check in,0
20487,I want to book flight tickets for ID-E-MILAD,I want to book the seats,0
54563,Get Daily Horoscope Updates,daily horoscope updates,1
13803,I want to play quiz,We can play quiz,1
13991,Pay d2h,d2h,1
2221,how to add new bank,i wish to add a nominee,0
43198,lab visit no is not in receipt,Where to type the lab visit ID,0
55164,I want to open the lab report,I want to open a Franchisee,0
40300,what is validity of my cashback,Is Amazon cash back offer valid for dth,0
28798,Show me money saving tips,Send me a saving tip daily,0
120,pay my stamp duty,Stamp Duty for gift,0
8917,What other facilities can I avail at the ALDS outlet?,What are the other facilities available?,1
63251,Book Service: Carpentry,book a service,0
4247,what's the weather like,Whats weather today,1
21544,Profit and Loss,profit and loss report,1
23453,booking train tickets,Want to book a train,1
12473,"yes, i am married",married,0
67756,drink alcohol,Do not drink alcohol,1
21827,doesnt work,Its Working,0
40442,Please refund my money,Please refund,0
14057,What is the weather today,What is the weather like?,1
22139,I found a cheaper fare somewhere else,I am finding cheaper tickets on other websites,0
74517,Other ways to become a vendor,i want to become your Franchisee,0
30930,I want invoice for my tests,I want my invoice,1
14806,Will I get my deposit refund?,How to get deposit refund?,1
23887,want reminder for drink water,view my reminder,0
17180,subscribe to horoscope update,I would like to cancel my Daily Horoscope updates,0
2271,When will i get cashback,When will it get credited,0
22234,What will be charges for test,I wanted to know the HCV RNA blood test fee,0
60120,What features does Total Secure plan has,How the Total secure plan works,0
14453,rate cutter plan,help me with rate cutter plan,1
53717,modification Wake Up Call,give me a wake up call,0
2774,I did not receive mail yet,please email,0
72978,unable to download,download,0
25401,My order ID isn't here,The order ID is right,0
72179,What are different types of cylinder installations?,different types of Vaporizer,0
11439,want reminder for anniversary,show reminders,0
36623,find me nearest medical store,Medical Store,1
12866,Give me the information about Survival Benefits for Saral Nivesh,Survival Benefit,0
45159,Where is my cash back,Cash back not received,0
8494,i want offer on flight tickets,want to buy Flight Tickets,0
29944,No one gave me the lab/Visit ID no,I don't have Id,0
42584,any cashback,Are there any offers,1
34572,Explain me the key features of Total Secure,Can I please know the Total secure plan,0
63670,"Hey, can you set a reminder for me to walk?  .",set reminder,0
4830,Cashback Not Received,my cashback,0
59576,modify items in my cart,change items,1
75391,how to pay entry fee for contests,Entry fees is refunded,0
50185,Who can opt for an inbound holiday?,Which Destinations are showcased for inbound holidays?,0
42661,"Hey, I don't smoke. . .",i don't smoke,1
61435,Help me with Survival Benefits of saral nivesh,I wanna know about Survival Benefits,0
68095,I want to know about price for another test,I want to know about another test,0
64526,I got cheaper price for this flight,cheapest fare guarantee,0
5767,i want to go from mumbai to pune,please proceed below flights new delhi to bangalore 1 adult - onward flight - 3038 jet airways 9w-823 dep 02 50 pm 29 dec,0
47041,I am unable to view the status of my report.,How to view reports online,0
42100,Winners list,winners,0
30736,i am unable to connect,unable to connect at the airport terminal,0
2421,I am a Resident Indian,Indian,0
28874,Where is the cash back,cash back issue,0
21429,Get me a cab for pragati maidan,cab for pragati maidan,1
11686,Please explain the Price escalation clause in the agreement.,I am not in agreement with the clause,0
46421,Where can I find the cost break up of my unit.,cost break up of unit,1
10674,Cash back is not come in my wallet,Cash back not credited,0
26746,Do you speak?,Do you speak Spanish?,0
69032,What is the weight of empty and filled cylinder,What is the quantity of LPG filled in the cylinders?,0
40755,I want to book a cab to home,Book a cab to work,0
57850,who can become a borrower on paisa dukan,Investors become a Borrower,0
64405,tell me about discount deal on flight booking,Any cashback on flights,0
7869,Want to book my seat,do i need to book an appoinment,0
61366,concierge bot,I want concierge bot,1
842,I dont have a SIM,I got no sim card,1
19687,Are there any offers,Are there any cashback offers,1
30435,Status of PNR train,check train pnr,1
17257,Your price is not good,fare not cheapest,0
891,Number is right,That was the right ID,0
28324,I want to get a flight booked,I want to book a flight,0
4083,find Flight Tickets,show flights on,1
44216,I want to book flight,book a flight,1
48624,flights to Dubai,I want to go to penang from ahmedabad,0
22851,Set an alarm for me to call someone,Can you schedule a reminder for calling someone,1
58632,any offers currently available on flights,what are discounts available on flight booking,0
12604,show for 2nd july,I want 15 no seat,0
39724,why are you charging convenience fee,you guys are charging convenience fees,1
8783,want to buy a phone,I want to book home collection service,0
2802,Where to apply coupon code?,How to apply coupon code,1
37733,Show another quote,More quote,1
9042,That's the right order ID,I gave a true order ID,0
58596,get a pin,pin on chat,0
64849,my nominee,Can I change my Nominee,0
1995,I want to check the price of this test,i want to check in,0
10323,Hi Please help me with flight bookings .,"Hey there, can you help me with flights? .",0
68063,"Hey, can you show me some money saving tips. .",Subscribe to Money Saving Tips,0
22430,Check GK Score & Rank,view the gk leaderboard,0
9411,prize announcement,when will cricket prizes be announced?,0
5315,I am asking about my report,What about the report of my blood test,0
34962,test price,may i know the rate of the test,1
8134,how to find my password,I want to find a nearby center,0
27889,I want to delete all my reminders,Turn off all my reminders,0
56430,Worked,Didnt work,0
56958,I want offers on uber.,please suggest offer,1
55381,set reminder drink water,set reminder walk,0
46677,i am not able to withdraw bonus money,How to withdraw my winning cash,0
41029,Home Loan,tell me about online home loans,0
54350,I want to book bus tickets for New Year,No bus ticket booking,0
24248,When does the sale end,sale ends,1
11087,When will Society be formed?,Who will form society?,0
21201,I gave the correct order ID,That was a valid order ID,0
34709,Plz give your phone number,Give me your phone number,1
2579,plz stop to all reminders,I want to cancel my tomorrow's reminder,0
64826,Key features please,What are the key features of WAAC,0
54011,"I want to check the status of lipid profile, screen",I want to check the status of my order,0
35245,i want to go to bengluru,i want to go from mumbai to pune,0
11699,How to get promocode,i dont get cashback,0
31711,This is the correct order ID,ID is correct,0
60786,what is the meaning of EMI,EMI means,1
32702,is there any coupon for electricity bill payment,electricity bill,0
55256,I want to know status of my flight,may i know the status of flight,1
33214,link paytm account,disconnect paytm account,0
45926,need flights from mumbai to pune,delhi to kolkata,1
5825,I want to change bank account,change bank account,1
32826,How can I book an appointment to discuss opportunities.,I want to have an appointment to discuss opportunities.,1
23212,want reminder for medicine,view reminders,0
19265,Can I close the account for free?,"I wish to close my account, but I have my holding in it",0
29509,stop reminders,I would like to cancel my Reminder,1
786,i want offer on flight booking.,any flight deals,0
43530,live status train,Live status now,0
19236,offer,sir I am cashback not receive,0
23702,want reminder for walk,I would like to view my reminder,0
16993,furniture repair,any furniture repair,1
39200,Can we pay landline bill,Is it possible to pay Landline bill using this app?,1
39091,want to buy Flight Tickets,I want to get a flight booked,0
64661,Gym,want reminder for exercise,0
64528,show the bollywood leader board,bollywood Leader,1
3108,tell me something about legality,i want to know something about paytm,0
22889,any offers on tests,Any concession,1
1349,Visa need for Dubai,Visa required,1
29982,reminder to call modification,Modify this to- do reminder,0
7299,How much amount I will get cash back if I book this flight,Book me a flight,0
19075,madarchod,Get the hell out of here,0
1762,Help me find railway status,Need train status,1
27019,pay ASF with debit card,Want to pay ASF,0
35532,gk T&C,cricket T&C,0
8030,Can you find me some jokes bot?,Please don't send jokes,0
14621,I gave a true order ID,The order ID is right,0
35729,want reminder for jog,make a reminder exercise,1
5933,I havent receive any One time password,did not receive SMS,0
72623,I want to know fare for entire month,I want to know fare for full month,0
3323,Is this offer on airtel postpaid also,Any deals on airtel   postpaid,1
55818,Can you send some repair person to my place?,want a repair person,1
14823,Train ticket booking,booking train tickets,1
55417,check cricket leaderboard,show yesterdays cricket leaderboard,0
36408,there is a delay in the OTP,there is a delay in the password,1
29394,Key features please,What are the key features of mylife,0
19052,recommend Flight Tickets,need flights from mumbai to pune,0
18228,Check availability for,Check available resorts,1
334,Give me your no.,send me ur no.,1
69086,I would like to cancel my Daily Horoscope updates,I want to cancel horoscope subscription,0
60028,remove alert live status,I want to check the live status of a train.,0
42490,ID is right,"I checked, this is the right ID",0
29992,discount on common area maintenance,common area maintenance charges applicable for my unit?,0
63378,Any offers for paying electricity bills,I want pay  electricity bill,0
60046,I would like to change my to-do reminder,show my todo reminder,0
44834,Yesterday cricket,Yesterday cricket Leaderboard,1
72859,stop alert train live status,Live status now,0
67490,Send my money back,Cash back not received Amazon pay,0
24105,Reserving tickets took too long,took a long time to book,0
61119,maintenance charge,pay maintenance charge before possession,0
5390,From what date is the maintenance amount due?,From what date is the Property tax due?,0
74503,am I eligible for any bollywood prize today,When I will get bollywood prize,0
496,Cash bonus not reflecting,Cash bonus not showing,1
42295,schedule a reminder medicine,set a reminder,0
67328,i want discounts on dth.,Hey haptic plz give me Cashback .,0
45600,Please share the litigations disclosed in title report?,Share litigations disclosed,1
1486,please email ticket,Please send boarding pass by mail also,1
61049,17kg,how can i get a 4kg cylinder,0
63969,Is there any coupon code to reduce the fare of the flight,How can I use coupon code in flights?,0
13464,I am uninstalling your app,I love your app!,0
20278,When the price will be announced,Give a update about that when the price is less,0
4914,New flight booking,like to purchase Flight Tickets,0
76183,set a reminder wake up,set a reminder,0
36609,my nominee,update the nominee,0
14754,any offer on mobikwik,any cashback on flight tickets,1
30073,When will i get cashback,Not get cashback,0
19171,hw to connect,I am not able to connect on my laptop,0
43199,i want flights from mumbai to delhi,And back to kochi on night 03 dec,0
12741,"Hey, can you remind me to walk?   .",remind me to walk,1
14767,I want to update nominee,update the nominee,1
49973,I need to book a flight,I want to book bus tickets for ID-E-MILAD,0
28980,Didn't receive Refund,My refund,0
60479,Any offers currently available on uber booking.,Are there any offers,0
69606,Can you call me,What should I call you?,0
4451,beauty parlour,I am looking for beauty parlour,1
29701,Tell me about Saral Nivesh plan,Assist me with Survival Benefits of saral nivesh plan,0
20162,Can i change the nominee if already updated,How can I change nominee for NSDL account,0
5772,pnr train,Status of PNR train,1
40686,view the gk leaderboard,Yesterday GK Leaderboard,0
17851,show motivational quotes,Give me motivation,1
19195,Terms & Conditions,Terms,0
41112,I want to apply for a loan,I want to apply refinance loan,0
64667,issues post a Root Canal?,root canal procedure,0
1221,Make my trip is giving cheap flights,Cheap flight tickets,0
31898,Where can cashback be used,Where is my cashback ?,0
20803,tell me about discount deal on flight booking,Do u have any offer for flight,0
25193,Remove all chats,delete all my subscriptions,0
320,How can I update IFSC code?,I want to update IFSC code,1
28115,Sxr to dehli air price,Can I get the fare rates of flights from Amritsar to Hyderabad for Dec 3,0
2192,cheapest fare guarantee,Pls send me cheapest fare,0
42711,Can i pay my water bill,water bill,1
71879,Problem in making payment,How to make payment for trains,0
75790,Which component of flue gas is not present in LPG?,How frequent do we need to do flue gas analysis?,0
1663,survival benefit of criticare,I wanna know about Survival Benefits,0
42170,Do you have features for Total Secure Plan,Tell me about Total Secure,0
37860,modification Custom Reminder,I would like to change my  custom reminder,0
63708,I want the password,password,0
67419,I want to book a cab for later,I want to book a cab,0
16024,show me the joke,I want jokes everyday,0
25476,web checkin,i want to do web checkin,1
14726,I gave the correct order ID,I've given the correct order number,1
10317,Today ipl schedule,Who won yesterday in Ipl match,0
13198,can cash back be used in,Where is my cash back,0
11146,i have a free voucher code,i have a free voucher,1
9604,Book me a cab,Please retry the cab booking.,0
