pid,sentence1,sentence2
17628,Check GK winners list,GK winners
17184,Could you let me know when there is a price drop,Can u please track the price for me and let me know when the price falls
5575,mumbai to pune,14 th feb morning flight to goa 7 adults 2 kids
42073,Any cashback on flights,tell me about discount deal on flight ticket
6797,What will be the premium for mylife,what is the premium
9582,remind me regarding exercise,remind me regarding
37101,stop alert pnr status,Status of PNR train
15783,What documentation is required to cover defect liability period?,documentation to cover defect liability period
59497,"Hey, can you remind me to exercise?   .",remind me to exercise
46823,convert my shares to demat form?,Is it important to have a demat account?
24599,status of train,chart status train
15010,My order ID was right,That was the right ID
63197,show me flights from mumbai to pune,suggest me Flight Tickets
37974,want reminder for drink water,want reminder for exercise
46327,is there any coupon for electricity bill payment,Electric bill payment
4561,I want to know the flight prices to Delhi,please proceed below flights new delhi to bangalore 1 adult - onward flight - 3038 jet airways 9w-823 dep 02 50 pm 29 dec
39041,What action can be taken in case the weight of gas is less than 12 kg,action taken when leakage detected
6410,Mutual Fund,What is mutual fund?
41371,Disgusting software,Fuck you
51405,Help me with Survival Benefits of saral nivesh,Survival Benefit
7874,I don't want to play,remind me to play the haptik quiz
4242,Want to book flight from Mumbai to Delhi,i want flights from mumbai to delhi
30529,i want to buy extra wifi,Steps to buy
28456,want to purchase Flight Tickets,provide me Flight Tickets
46523,suggest Flight Tickets,I wanna look for flights
75728,I would like to get my horoscope everyday,How will I get to know about prize?
8110,schedule a reminder drink water,set reminder exercise
62447,Survival Benefit of My Life,I wanna know about Survival Benefits
15830,dental implant details,dentures with dental implants.
3630,am I eligible for any bollywood prize today,How will I get the bollywood prize
16144,I want a different Quiz,Need a different Quiz
71055,how to add a card,add me to a private contest
57191,invite code blocked,find my invite code
61903,Is there is no coupon code for this flight,How can I apply coupon code in trains
23321,bride hair styling,hair styling
48036,I wanna fly to hyderabad,i want to go from mumbai to pune
35018,schedule a reminder birthday,schedule a reminder medicine
74851,I want to talk in hindi,I want to see your picture
3076,provide me a joke,sorry i dont want send a joke daily
68887,from my location,My location
45660,what else do you know about events,events
21806,Not received my ticket,Referral cashback not received
64586,Amazon offer available?,still not got amazon cashback
37034,safe to enter card details,Approve my account and pan card detail
29869,I would like to cancel Joke of the day subscription,I want to cancel my subscriptions
4826,Can give me details about my haptik cash back,any cash back on flights
27080,reminder to call modification,send me reminder to drink water
55535,where to spend cb,Where to apply coupon code
58376,check for trains from mumbai to delhi,want mumbai to bangalore flights
18579,Looking forward to share the event proposal,"I am an experienced photographer, looking forward to work in your company"
71698,lender,multiple lenders
63854,I need flight,need flight baggage details
14239,Your price is high in comparison with paytm,Your price is high in comparison with makemytrip
1333,Book a flight,I want to book flight tickets for New Year
73094,auto connect for iOS,More information on auto connect
70754,book ticket from mumbai to pune,delhi to kolkata
73942,"Hi, I want to buy USB Cables .",USB cable
55261,Check availability at,check availability of resorts
28509,I don't have a lab ID,lab id
32267,any coupon available on flights,For flights any offer is going on
17634,send me your photo,Can u send me your number
16436,What is the procedure to change the bank account,What is the procedure to change RM?
60361,wish friend bday,remind me to wish friend bday
67372,I got cheaper price for this flight,cancel flight fare alert
74250,Don't send me,Please don't send jokes
47594,Please email the tickets,Send me the ticket on my mail
6895,rate of the test,how much is the price for the test
49207,Customized Holidays,Customized holidays have a price guarantee
37462,overview of category media,category media
24817,Mutual Fund,Invest in mutual funds
32356,auto connect plan,More information on auto connect
29430,I want to book flight tickets Can you help me,Book a flight
71087,Can I sign the registered agreement in Dubai?,collect my registered agreement
70443,like to buy Flight Tickets,"Hey, I want to book a flight ticket ."
24041,deals,i didnt received my cashback yet??
3355,charges for getting a new connection,What are the documents that I shall receive after getting a new connection?
33900,What is the process of society formation,What is the process for the Conveyance & Society formation under RERA for my project?
74599,booking train tickets,Need to book a train
50218,No information Desk,Where is your info desk located
3737,What's my ID password to check online report,I want to get my report online
34542,All reminder cancel,All reminders pls
837,I want to know flight calendar,I want to know the flight prices to Delhi
44613,i need extra wifi,how to pay for extra wifi
47074,Coupon,Did not receive cashback
11375,I havent got my cashback till now,I did not get cashback
1242,whats the eligibility criteria,eligibility
72794,how to i win a cash contest,How to withdraw my winning cash
68500,reminder for walk,prepare a reminder walk
30528,eligibility to become a borrower,lenders become a Borrower
32113,want to get my clothes iron,iron my clothes
71958,How to get friends invite amount,Invite friends
22225,Refund my money cheaters,Please refund amount soon
31699,I wanna check train pnr number,I wanna fly to hyderabad
61324,wana book a flight,I want to book flight
3872,I wanna fly to hyderabad,Flight from delhi to srinagar
32739,remiand me about exercise,remiand me about wake up
75574,"Hey, can you remind me to call someone?   . .",Reminder to Call Modification
1022,I want to edit my reminder,Can you help me edit my reminders
30683,Cab booking,I want to book a cab
27265,Is there any package,are there any openings?
74240,I havent receive any One time password,pin didnt receive
25187,Do not sent reminder,Not needed
56091,14 th feb morning flight to goa 7 adults 2 kids,check price for flight from mumbai to pune
53807,what is my rank in bollywood,show my current rank in bollywood
24420,I want one way,please show me one way flights
36004,send me ur pic,Can you send me your pic
58465,make me remember phone,make me remember
21195,How will I get to know about cricket prize?,How will I get the prize
47951,I want ur number,can u give me ur number
13107,Can u email me flight tickets,want to purchase Flight Tickets
34743,Is it possible to pay Landline bill using this app?,Can i pay landline bills?
48069,Do i need visa,Visa need for Dubai
58719,This is the order ID you sent me,That order ID is correct
15677,schedule a reminder walk,set reminder
4065,show flights on,want Flight Tickets
17221,Offer best,Cleartrip also has better offers
58206,I do not see any information desk near me,Unable to see any pin
62351,Is there any offer for bill pay?,i want to pay my bill
2635,any offer running on flight booking,Book flight
12920,Total secure plus,Calculate Total Secure Plus Premium
50042,Please advise on the stocks to sell,Please advise on the stocks to buy
20575,lets start quiz,lets start
10763,I have already shared all the details,share all flights
25033,features of WAAC,What features does WAAC has
29271,I want to link multiple bank accounts,I want to pay from multiple bank accounts
39422,I want to book an appointment,want to buy a phone
55322,sofa,Sofa dry cleaning
36024,i want to book a resort,resort book
72365,Give me motivation,Send me motivational quote
10593,Can give me details about my haptik cash back,cash back not credited
12099,no active sim,I don't have an active India mobile number
39584,modification motivational quote,Daily Motivational Quote
35192,Cancel wake up call for tomorrow morning,Wake me up tomorrow morning
4766,Any offers currently available on uber tickets.,Are there any cashback offers
6608,create vle login,where to login for VLE
6166,link paytm account,no paytm account
23178,Is there a minimum and maximum number of participants per batch for the coaching sessions?,Coaching batches schedule
117,What's the customer care number?,Customer care number?
401,reminder to call modification,need to call phone
9782,Let me know if there are any cash back offers,Any Cash back offer
22672,i need a job at haptik,need a job
13480,My ticket is already booked i want to change the date is it possible,Please send my booking details.
62335,Cancel Flight Booking,I am canceled my flight but my refund amount is not came
7353,sorry change this reminder,modify reminder
2683,i don't have an active number,no active sim
57607,Download receipt,I want to download the receipt
39182,Which team will win the match today,Ipl matches today
30772,I need invoice of my air tickets,I want invoices for my test
10514,Paytm book 4000 only,On Paytm
66723,Any offer,Any Offers on Movie Ticket
61766,give me a call to drink water,Alarm to drink water
272,calculate premium,premium
36295,I want to delete all old message,I would like to cancel my Quiz reminder
44898,electric bill offers,I want to pay electricity bill
8911,Amount will refund to my bank account or haptik account,money will be refunded or not
58985,i want to book a movie ticket,want to book a flight
40297,That was the right ID only,My order ID was right
7738,please show me return flights from,Want to book flight from Mumbai to Delhi
40691,I have looked but cannot find my customer ID,Can't find ID
4231,cashback,Any other discount
306,What will be the Survival Benefits of GCAP,I wanna know about Survival Benefits
60247,I want to delete all my reminders,how to delete the app
17642,my number doesnt have intl roaming?,i don't have a number
55170,Key features of Total Secure,calculate premium for total secure plus
4640,When I can Get the Cylinder deposit refund,How do we notice the cylinders gets empty in your Maxima 450 kg system?
10973,why are you charging convenience fee,I am getting same without convenience charge
72876,car service,what services do you have for cars?
60865,closest atm,Find ATMs near me
37366,cash back,Didnt receive cash back
3720,I want to book a cab to travel later,travel later
34644,Book me a cab,i want to book cab
67416,Is there any offer,I recharged my mobile using phonepe and I cant find any cashback
6568,"No, I don't know about chatbots","Yes, I know about chatbots"
21265,nominee details,I want to update my Nominee detail?
3993,That was the correct order number,That was the correct order ID
6529,not receiving pin to connect,I havent receive any OTP
1097,show me your picture,i need your number
25900,What are different types of Vaporizer?,types of Vaporizer
12038,call to remind walk,Reminder to Call Modification
68485,I have board the cab but dont know the fare,How will I know the fare price?
55811,modification Custom Reminder,custom reminder modification
12034,Maharashtra electricity bill payment,Electric bill
7040,Please help me with booking flight tickets,Help me with booking ticket
2442,Will it take time?,How much time you will be take
48874,Why is the payment structure in agreement not aligned with what was discussed and agreed?,The payment structure TABLE is not aligned with Bank?
45767,suggest me nearby clinic,find nearby
70816,I want refund,Please refund
27920,check price for flight from mumbai to pune,Please proceed with below flight from Delhi to Bangalore for 1 adult onward flight air dep 00 00 1 dec dep 00 00 1 dec
38975,i want discount on flight booking,any flight deals
34710,cancel all reminders,show all my reminders
46054,Call me,Call Option
4548,Please send your pic,give me a your pic
29720,deposits level up,what are rewards for levelling up
41925,Hey can you tell me about the phonepe cash back .,Let me know if there are any cash back offers
16192,want train tickets from mumbai to pune,Tell me exact fare from Mumbai to mangalore
42404,Didnt receive OTP,Have received One time password now
15040,survival benefit of saral nivesh,Want to know Survival Benefits of saral nivesh plan
2109,I need a person who collect the blood for a test,Kindly collect blood sample
4872,33 kg cylinder,450 KG Maxima
17745,married,yes i am married
13422,recommend Flight Tickets,search flights
51467,Worst send be better,Send me some amazing jokes
12006,remind me my exercise,call to remind exercise
58312,I havent receive any One time password,OTP didnt receive
63372,I didnt receive messages.,Cashback not received
8964,Arrange a call,Call me
8818,That was the correct order ID,I can't find my order ID
61685,Give me series updates,Stop Series Updates
7933,search flights,suggest me Flight Tickets
55273,yeah,"Yeah, sure!"
22171,"I checked, the order ID given is correct",The order ID is right
12837,is auto connect free,auto connect iphone
16906,Didnt receive cashback,Did not Receive Refund
71446,Ur fare is higher,You price are higher than happy easy go site
4970,Too costly as compared to other sites,I find cheap at other sites
24372,Cancel flight booking,show me zero stop flights
7072,I can't find my order ID.,I cannot find my ID
60362,face neck,face neck and back
11271,want to know the documents for home loan,Home Loan
22968,stop reminders,I want to remove reminder
6057,I dont remember my LAB ID,lab id
52663,High price yaar,very expensive
72275,Can you fuck me,What the fuck
25380,bridal design mehendi both full arms,bridal design mehendi both full arms half legs
3051,need flights from mumbai to pune,want flight fare alert
59814,The internet is not connecting at all,Wifi is not connected yet
60485,meaning of types of administration,What is meant by Type of Administration
37770,When it will be available,Can you confirm when will it be available
58978,my password is not working,No password received yet
24044,Show next Health benefit,Give me more Health benefits
44557,cancel wake up alarm,wake up
50713,"Hey, can you give me daily horoscope updates? .",Send me a daily motivational quote
12782,I want to retrieve a report but I don't remember the lab id,Check for another lab ID
14764,request new channels,New updates on new channels
64366,Hahahaha good joke,Can you tell me a great joke
27875,customize corporate tours,What all services are included in Corporate Tours?
14825,my cashback,I have not received cashback
22846,The internet is not connecting at all,Not connecting
19742,Missed my Bill receipt          l>,Can i get a copy of the Bill receipt
22258,corporate tour inclusions,customize corporate tours
14509,Give me your number,I want ur number
37159,I want pay my landline bill,How to pay landline bills
1750,eligibility criteria,whats the eligibility criteria
16000,i want to go to bengluru,to go movie
4160,my cashback,Didnt receive cashback
2148,I need report on email,I want Report
35708,Sry bt i want to check my PNR status,i want to check in
11168,Under 10Lacs,35 lacs
2983,How will one come to know  he has won cash prize,How to withdraw my winning cash
302,Offers,What services can you offer?
67995,what documents required for new connection,Documents Required
72360,Uber is not reflecting,Please i want an uber not ola
32297,your phone number,There is a warning about harming your phone
10976,view the bollywood leaderboard,show yesterdays bollywood leaderboard
29314,What should I do If there is No franchisee?,"If there is no action by distributor on complaint, whom should we contact for immediate redressal"
22627,Earn money,I want to earn money
684,What is your name,what is your customer support number
52433,schedule a reminder drink water,schedule a reminder jog
28741,start trading,Are you sure I can start trading in 1 hour?
20434,how to login with premium wifi,what are payment options for premium wifi
15316,I need a reminder for exercising,to view my reminders
54420,Bali Honeymoon Destinations,I'm interested in Best-Selling Bali Honeymoon Package for 6 Days
58369,give me citibank offer,terms for citibank offer
18507,looking Flight Tickets,I would like to book a flight ticket
33073,boarding pass,I want the boarding pass for my flight
65536,todays ipl match results,Who won the IPL match yesterday
43210,I want offers on train booking.,Train booking
28955,met with an accident and broke my tooth,preserve the broken tooth
47004,I would like to change my  medicine reminder,Medicine Reminder
1988,Book a flight,I want to book flight tickets for ID-E-MILAD
578,How do I get refund of Cylinder deposit?,time to get refund of deposit
55843,want to get my clothes washed,clothes wash
26311,Evening,Gm
5842,The order ID is right,Can't find order ID
10188,Can you tell me what is the new feature,Tell me what's the purpose of this app
3777,Please inform me when flights rates go down,Notify me if the fare goes down
26638,I forgot my LAB ID,My lab ID is
23146,Send me daily motivation,I want daily motivational quotes notification
69332,I want to use citibank offer,When will I get the citibank cashback?
337,I don't know my star sign,I don't know english
34622,check for trains from mumbai to delhi,check price for flight from mumbai to pune
48474,procedure to link aadhar to this account?,link my aadhar to demat?
7670,Is any cashback offer for me??,I recharged my mobile using phonepe and I cant find any cashback
34417,Can you check flight ticket availabilty,to buy Flight Tickets
14778,Roles in new upcoming movie,Your upcoming movies
50159,i want flights from mumbai to delhi,Book me a night ticket to Delhi tomorrow
53515,i need a bot human chat bot.,need bot
19431,any offer on flight booking,i want offer on flight tickets
68187,I am unable to login,unable to pay
15190,remove this flight alert,Flight alerts
36550,show me your pic,can you give me ur number
75130,not able to pay,How to pay with credit card
61590,No its ok,ok
40257,set reminder exercise,set a reminder
56133,charge of test,What will be charges for test
61316,like to buy Flight Tickets,looking Flight Tickets
62406,Process to Download the receipt,I want to download the receipt
60175,Check yesterday's cricket leaderboard,Yesterday cricket Leaderboard
70928,schedule a reminder jog,set reminder medicine
15497,not able to transfer funds to my account,best fund to buy
24657,want to get my report but I dont have Lab id,I don't have a lab ID
1608,Please advise report status,please check my report status
6289,"Hey, can you help me find a plumber  .",want a plumber
36850,What documents are required at the time of booking?,price committed at the time of booking
10519,Sorry i am able to see cheep fares on other website,I am getting flight with slight lower price on other platform
37684,What features does Total Secure plan has,May I please know the Premium for Total Secure
14206,Cancel Flight Booking,to buy Flight Tickets
39296,modification My To-Do List,show my todo reminder
39169,update the fares frequently,Can you please update me with the amount of convenience fees
39705,Any Discount on Movie Ticket,Any Discount on Movies
61056,want the payout in new bank account as the exising is closed,new bank account addition procedure
34990,transfer to bank a/c,Is there any online option to add bank to trading account?
53213,"Hyundai,Sedan,Wheels and Tyres,Tyre Change,Pickup/Drop","Hyundai,Sedan,Wheels and Tyres,Tyre Change,Doorstep"
33528,Please send your pictures,Send your Number...
1402,How do I get a new domestic 2 kg/4 kg or 12kg cylinder connection?,33 kg cylinder
18726,total secure+,May I please know the Premium for Total Secure
43016,decision to lend money,who am i lending money to?
45687,Do you supply LPG for industrial corporate customers?,Industries lpg
21431,Flight from delhi to srinagar,14 th feb morning flight to goa 7 adults 2 kids
26469,set a reminder drink water,set a reminder walk
35692,Price alert,give me flight fare alerts
574,How can I use referral code,I want to use referral code
15803,Email me my flight tickets,suggest me Flight Tickets
43849,give me citibank offer,terms and conditions for citibank offer
74515,tell me about discount deal on flights,i want offer on flight tickets
26961,check gk leaderboard,Check yesterday's GK leaderboard
15985,Need to know the Survival Benefits,I wanna know about Survival Benefits
71048,How to claim bollywood prize?,Any bollywood prize?
30042,auto connect apple,How to connect to the internet using auto connect
19037,cheapest flight guarantee,Make my trip is giving cheap flights
4278,I am facing some other issue,other issue
42342,Cancel wake up,Wake me up
47465,I am unable to view the status of my report.,I'm unable to find my customer ID
9244,won't repay loan amount,repay loan partially
60834,Mauritius Family Destinations,I'm interested in Endearing Mauritius Family Tour for 7 Days
25901,I want to book a flight,I dont want to book right now
61562,Chimney Deep Cleaning,bedroom deep cleaning
41496,Are my bank details important to be given?,Is it important to have a demat account?
62385,pay maintenance charge before possession,sell before possession
24895,"Hey, can you find me the nearest place for bike repair?  .",suggest me closest place with wifi
13564,On Paytm,Paytm book 4000 only
32083,any discount on flight booking,Any Offers on Movies
57908,Send joke,sorry i dont want send a joke daily
44197,Upcoming matches,View upcoming matches
17164,Script idea information,Script idea
14034,How frequent do we need to do flue gas analysis?,How frequent do we need to replace the LPG hoses?
5346,I want my money back,Cash back is not come in my wallet
36014,When the gk price will be announced,what is the gk price
869,what are the important features of mylife,What are the important features of Total Secure
10859,repair under warranty,What does Maintenance under warranty cover?
63811,maharashtra state electricity board,West Bengal State Electricity Board
10228,What are different types of cylinder installations?,types of cylinder used in industries
21874,important features of mylife,What are the important features of Total Secure
4944,cost of test,what is the test cost
55183,"Hello, Can you look for the closest bus stop?",looking for closest bus stop
38769,I want uber for 5th Nov at 9am,suggest me uber
34811,become a member,How to become a member?
69691,Worst send be better,suggest a good one
30872,Any cashback on train booking,any offers on trains
62183,Train ticket booking,what about Rail tickets
15419,Next ipl match details,Next ipl match
71342,Railway booking,There is train booking
71347,This is the order ID you sent me,Can't find order ID
14367,I want link to download this app on windows phone,I want the link
31230,Today's news,Today's news in india
35034,I want to book flight tickets Can you help me,Please help me with booking flight tickets
3652,Give me offers,Sir when My Cashback given by you
40403,i want to book,Why are you allowing me to book only one studio/One Apartment?
38581,I wish to share my acting profile,"I wish to work in your organisation, how can I apply"
10169,your services are worst,Thank you so much for your service
31756,sim not active,no active sim
22474,suggest Flight Tickets,to buy Flight Tickets
42739,Need to know the Survival Benefits,What will be the Survival Benefits of my life
29058,looking for Flight Tickets,search flights
20959,like to buy Flight Tickets,Help me flight booking
818,Cant you see above,Cant take this non sense any more
9111,view the cricket leaderboard,Check yesterday's cricket leaderboard
2035,not married,I am married
4017,Can you share you email?,Can you share you email ID?
51706,defect liability date,What is a defect liability period?
46333,pay my postpaid phone bill,Postpaid mobile bill payment
21995,I want cancel this order,I want delete my account permanently
57261,add nominee  In Demat account,demat account
75029,I want to book a cab,like to purchase uber
19998,Drink Water Reminder,water reminder
4290,refund,Still not refund
65492,remind me to exercise,"Hey, can you set a reminder for me to jog?  . ."
33688,can i pay by phone bill,Hi! I want to pay my phone bill .
19580,want reminder for,want reminder for 
3166,That order ID is correct,I can't find my order ID
64390,What is the wifi network name?,what is the wifi speed
12545,check a flight on 23 october,Check flight between cities
16168,want reminder for appointment,list my reminder
57103,Book a flight,Please help me with flight booking
72035,shopping list,Can I shop here
26909,tell me about discount deal on flight booking,I want discounts on flights
1281,My RM is not reachable,relationship manager not reachable
57586,Book me a flight,Book a flight from Mumbai to Delhi
60577,need a signed receipt,signed receipt
60277,what is your mail,what is your name
46543,i want discount on flight tickets,Please help me with booking flight tickets
66865,Help me find railway status,I need help with job search
4085,How much amount I will get cash back if I book this flight,I didnt receive any cash back
40858,I want to cancel my flight trip,I want to re-schedule my flight trip
4506,I am getting all these flights for 5000 or 6000,share all flights
29904,Book me a flight,I want to re-schedule a flight booking
10913,show cheapest,looking for cheap food to order
67948,steps to link,Why do I need to link Aadhaar?
12808,maintenance charge,How is maintenance charge calculated for different appartment sizes?
55743,want to buy Flight Tickets,want Flight Tickets
64934,Are reminder calls free?,Are the calls free?
42870,Want to know about Educational Loan,I want to know my application status
37443,What are offers for mobile bill payment,Bill payments
22410,chair,upto chairs
62774,Tell me the key features of Total Secure,Tell me about Total Secure
48495,Still not get cashbook,I did not get cashback
65632,One time password not working,OTP not get
6806,Have you any offer,I recharged my mobile using phonepe and I cant find any cashback
44199,send me reminder to drink water,I need a call to remind me to drink water
43959,total secur,Need your help to know the Premium for Total Secure
25158,Check availability for,check availability by west
1991,Can you schedule a reminder for meeting,set a reminder
51552,Visa,I want visa information
21873,Is there any offer for airtel,Any deals on airtel   postpaid
36460,Book me a flight,Please help me with flight booking
37308,any deals on trains,Some awesome cashback offers on trains
460,want a loan for new home,New home loan
72031,cannot login with my email id,Trying to login with my email ID
57953,Can you send me pin no,no pin yet
30481,Manage my flight bookings,I want to book flight
58852,to buy Flight Tickets,wana book a flight
7185,"Hey, can you send me regular reminders to drink water? .",Turn off reminder to drink water
40368,did not get my,still not got amazon cashback
66908,i cannot connect,cannot connect to airport
29417,recommend me Flight Tickets,need flight baggage details
50933,Leadership board,gk Leadership board
64152,looking for Flight Tickets,Send me flight timings from Mumbai to Delhi
37078,make a reminder walk,want reminder for walk
35533,I want to book flight tickets for Guru Nank Jayanti,I want to book flight tickets.
32494,set a reminder,set reminder 
40061,view the cricket leaderboard,Yesterday cricket Leaderboard
30294,You dont have any concessions,There is no any convenience fees right
30817,That order ID is correct,Where can I find my order ID?
16602,Entry Fees to be considered,why you refunded the entry fees
68610,please continue with web check in,continue web check-in pnr
62992,Train booking,book train ticket
624,I want to check the last fund credited in my account,I want to check account opening form
57386,any bus available from,Is there any bus or train service
41798,can cash back be used in,Cash back not receive
40100,Is there any offer on electricity bill payment?,Bill payment
31390,Can give me details about my haptik cash back,Hey can you tell me about the phonepe cash back .
10722,OTP received,not receiving OTP
22532,Total Secure,Calculate Total Secure Plus Premium
7732,I did not receive my refund on flight cancellation,stop flight fare alert
61097,What's my ID password to check online report,How can I find my test report online
36521,flights to Dubai,need flights from mumbai to pune
49229,goibibo fares are cheaper,found cheaper fare elsewhere
56523,premium for GCAP,Need your help to know the Premium for GCAP
3369,Pay credit card,Dont have an HDFC credit card
28647,Today Ipl matches,Next ipl match
32006,maximum numbers of participants per batch,number of participants per batch
56363,I didnt receive any cash back,cash back not credited
39377,reminder medicine,set a reminder medicine
67437,auto connect plan,auto connect for iOS
35467,mega discount,What is a Mega Discount?
35671,Help me with Survival Benefits of saral nivesh,What will be the Survival Benefits of saral nivesh
22069,OTP did not come,pin didnt came
67665,Still not received cashback,Cashback not receive
43916,Key features please,Explain me the key features of My Life
31497,tell me about discounts on dth,"Hi, please tell me about Times Credit Card. ."
35077,I havent got the email yet,i havent got my refund still
11559,GK winners list,GK winners
65827,I have a german number.. how can I get otp?,Got my OTP
2987,Cashback not received,Didnt receive mail yet
9691,Am I talking to a real peson,I want to talk to real person
51362,cheapest bus,bus
60882,Key features of Total Secure,Tell me the premium amount for Total Secure
33343,rate of the test,what is the test rate
26771,Transfer voucher,Process to transfer the vouchers of academies
29389,i want to download the bill for my tests,How do i find the link to download report
23708,you guys are charging convenience fees,How much convenience fee will be added
14997,How will I get to know about bollywood prize?,How to avail prize bollywood
22971,Any cashback on train booking,any cashback on trains
16789,Indian,Resident Indian
71452,book cab for home,Book me a cab
60043,I would like to cancel my daily motivational quote subscription,stop motivational quote
47417,Any discounts available for purchase of tickets,any offers currently available on flights
53613,modification Reminder to Call,"Hey, can you remind me to call someone?   . ."
16429,i need my invoices,I want invoice for my tests
34496,Dont send,I dont want anymore flight updates please
142,call me at,wake up call
15019,i am not getting the login page,not getting pin
25271,cash back nahi aaya,cash back nahi aaya
56405,Do not send reminder anymore,Do not sent reminder
284,where can i calculate my EMI,EMI Calculator
23893,I am receiving a message “You are not an Online Client”,"I am getting an error “You are not subscribed for this product""."
36878,home loan interest rate,home loan please
20074,What can you remind me about,remind me about jog
42027,How much will be the calorific Value,Gross Calorific Value
26935,I need a call to remind me to drink water,call to remind jog
33928,plz stop to all reminders,Please tell my all reminder
39077,How will I get the bollywood prize,May I know the prize for bollywood
51757,Will your calls affect my balance?,Thank you a lot rembo i'm waiting your call
54855,Tell me any promocode,I recharged my mobile using phonepe and I cant find any cashback
16866,prepare a reminder anniversary,prepare a reminder medicine
1397,Please book a flight,Book a flight from Mumbai to Delhi
3169,Whom I should   contact?,How and Whom should I contact
5266,Key Features,Tell me the key features of WAAC
1262,But your price is higher,Your price is high in comparison with paytm
59851,Unable to contact RM,contact RM
19438,What is Currency Trading,Currency Trading
52837,what are offers on flight booking,Any cashback on flights
57296,Please help me with booking flight tickets,want to purchase Flight Tickets
27155,did not work,still not working
37800,delete all reminders,show all reminders
69696,christine valmy skin whitening clean,christine valmy skin whitening facial
37056,any flight deals,tell me about discount deal on flight ticket
34468,provide me Flight Tickets,I wanna look for flights
32190,Send me your pic,Can u send me your number
60761,any cashback on flight booking,I need to book a flight
4269,Please help me with booking flight tickets,I want to book flight tickets for Christmas
50542,book a seat on the flight,I will pay please reserve my seat
39150,Best Mumbai Electricity Bill Payment,Electric bill
20700,Coupon Code,I want a coupon code
56615,should I do if I accidently knock out my tooth?,if my child knocks out a tooth?
59909,i want to book train ticket,Need to book a train
36518,I want offers on flights,I want discounts on train booking
36758,Alarm for Leakage detection,What actions need to be taken when leakage is detected?
22243,find Flight Tickets,I want the boarding pass for my flight
13455,"Hey, can you help me find a carpenter  .",want a carpenter
40464,want Flight Tickets,want to buy Flight Tickets
28210,survival benefit of GCAP,Assist me with Survival Benefits of GCAP
14398,It was hard,the process was hard
54293,Let me speak to a customer service agent,I want to speak to customer care.
28336,do not have token number,track my grievance status for token number
11088,When i will get refund,My refund
61701,I would like to change my  exercise reminder,cancel my exercise reminder
23436,not able to login,Why am I not able to use the internet
7181,Saral Nivesh,Want to know Survival Benefits of saral nivesh plan
7260,What will be the premium for Criticare,what is the premium
2428,bed,double bed
75806,Pagal ho kya,Pagal
4516,How much cashback can I use per order,how much cashback
64942,fare not cheapest,Your price is not good
68728,Do u have any offer for flight,i want offer on flight tickets
67507,Details of Health Plan,Health Plans
26315,How many days in advance can a traveller buy foreign exchange for their travel?,documents to buy foreign currency
65206,Didn't get my pin,didn't get message
58113,Order ID is correct,That was a valid order ID
4637,any cashback on flight booking,tell me about discount deal on flight booking
28537,I want to book flight tickets for NH7 weekeender,I need to book tickets
21192,change date time,change dates
21837,still not functional,still didn't work
8708,Book me a night ticket to Delhi tomorrow,i want ticket from mumbai to pune
2078,hw to connect,please connect
43110,please find trains,Do haptik now providing train services
15915,Give me your phone number,so please give me your H.R. Number so that I can follow up
26760,I don't want to play,Do not sent reminder
19071,I want the Premium amount for WAAC,Tell me the premium amount for WAAC
10549,Set an alarm for me to exercise someone,Set an alarm to meet
32756,Send me flight timings from Mumbai to Bangalore,Please proceed with below flight from Delhi to Bangalore for 1 adult onward flight air dep 00 00 1 dec dep 00 00 1 dec
73237,What are the charges for getting a new connection,new connection
29128,Land line bill payment?,Mtnl landline bill
23499,Nearby Gas station,gas station
8234,Custom Reminder Modification,Modify this custom reminder
34007,Still can't find ID,I can't find my order ID
27464,bank offer cashback not received,cashback with offers
49882,Can you check flight ticket availabilty,check Flight is on time
28186,What are the types of SUPER GAS LPG Bulk Installation?,PESO License bulk installation
19943,Role of Network18 in your company,What is the role of Network18 in your company?
71536,Do you have features for Total Secure Plan,What will be the premium for Total Secure
52,show the gk leaderboard,Yesterday GK Leaderboard
18934,I want to book a flight,do i need to book an appoinment
5923,I want to play Game,I want to play
30507,I had booked the ticket and I wanted to know the terminal,I want to book ticket
63295,set a reminder jog,reminder jog
14607,I wanna fly to hyderabad,i want flights from mumbai to delhi
72669,bad customer service,customer service was great
13525,Need to know the features of Total Secure plan,Need to know the features of WAAC
16812,No free seats,These are free seats
22505,check quiz leaderboard,show quiz leaderboard
68868,show gk ranking,Show my latest rank in gk
9644,Do u have any offer for flight,Any Offers on Movies
30605,beauty,beauty service
60502,what type of reminders can you set,set a reminder jog
5324,When will today's IPL Match begin?,latest status of today ipl match between DD vs RR
30069,"Yes, start building my cart",i want to start building my cart
51255,Who is this haptik,Who are you??
26630,am I eligible for any gk prize today,How to claim gk prize?
4414,my pin is not working,not working
32947,any deals on trains,Any cashback on train booking
6417,want to buy Flight Tickets,recommend Flight Tickets
13039,recommend me Flight Tickets,I want the boarding pass for my flight
2172,Thats amazing,GM
19804,What is expiry date of cashback amount,what is the expiry of cashback
10363,I need to book a flight,I want to book round trip
26416,Any promo codes for flight booking,Share promo codes for trains
3450,any cashback on trains,Is there any offer on train tickets
5035,"Hey, can you help me find a plumber  .",I am looking for an plumber
19197,Is dere any full   body package,My body is full time ache
