Text,Summary
Even while supervising my dog within 5 min she was choking one of these then I had to wrestle her to pull it out of her throat because she was throwing up her food and could not get it up.  Bad experience.,Not for large dogs at all!
"This was a just a boring type of coffee, kind of like the kind you can get in a bank that has been sitting out for awhile, nothing exciting about it.  With that stated my two top K cups are Santa's Buzz and Gloria Jean Butter Tofee if that let's you know my taste preferences.",Boring
"I purchased this coffee because of the claims on the packaging that the beans were picked with integrity and with fair practices. I always look for these traits in my coffee, as well as look for organically grown beans. I also always purchase decaf and love strong, dark roasted coffees. So, I brewed this coffee in the same manner as I usually do, with a high-end coffee maker, and it was not good. It had a very, very bitter taste. Like I said, I brewed it the same as I always brew my coffee, added the same creamer, and it was horrible. I tried it again and again, over the course of a week, trying to get better results but it just never got better. This coffee tasted like cheap diner coffee and I was unhappy with it. I emailed Cafe Altura to let them know that I was unhappy with the coffee and would like a refund, and received the most rude email back from the president of the company. I mean, I was shocked! The president basically told me that my experience with Cafe Altura was not his problem and that he would not offer me a refund. I kindly explained my whole brewing experience, and that I was not happy with the coffee, and that I simply wanted to bring this to his attention. I was very polite in my emails with him and received snarky marks, uncaring and condescending put-downs and an ego trip. I was truly shocked by the level of customer service from the president of the company. After explaining my experience, and receiving a few rude emails, my email responses went unanswered. I again, politely, asked for a refund and to date my emails are now being ignored. I will never buy this coffee again and want to spread the word to my family and friends to stay away from this coffee as well based on my experience.",Very bitter coffee.  Rude customer service!
"I tried this brand of green tea after drinking both Celestial Seasonings and Twinings green teas. This one had a very strong, very strange flavor. It almost tasted like a meat broth rather than a tea. I think another reviewer who described it as a ""burnt"" flavor may have gotten it right. I tried it once, and immediately switched back to Twinings. I recently tried a second bag, thinking maybe I overreacted the first time, but had to pour it away.",Very strange flavor
"The real Le Gout Base should have 095 on the label! I have found it on the web, but it is a bit expensive, especially if you don't want to buy a case of 12! I use both the chicken and the beef, the shipping on 2-1 pound containers is about the same as the cost of the base!<br />I have been out of the food biz for about 5 years now, but I still have contacts with food service, so I think I will be giving them a call!<br />It is a shame that Amazon couldn't get the real deal!",This is not Base!
"I am scanning for a good buy on dog bones and as wonderful as these bones may be, their cost is crazy.  On a cheap dinner we can feed our entire family of 2 teenage boys, young lady and parents for about that much.<br />Ill buy another kind thank you  :-X",11 Bucks for cow debris ....  R U kidding ?
"Probably one of the worst jerky products I've ever tasted. It was almost gelatinous in texture and waxy. I think this is the result of being over tenderized. Perhaps this is a good product for those with dental problems or dentures, but for others, you may want to stick to another jerky brand.",BEEF JELLO!
I ordered 2 packages of the 1 LB Jerky and I had to return it because it was too salty to be eaten. This is the worst beef jerky I ever ate! Please save your mouth and taste buds and skip this jerky.,Extremely Salty
I purchased this item based on the description that stated all natural ingredients and no nitrite. Once I got it I happily consumed it before finding out it did contain sodium nitrite.  As far as I am concerned Amazon should not be distributing wrongly advertised products like this. A big disappointment.,Wrong Product Description
"I bought two bags (original) which were delivered to me on November 16th...<br /><br />The first bag was good. It had soft pieces of jerky mixed with annoying hard pieces of jerky. The meat has a nice fat to meat ratio, you know when you bite down on a fatty piece of meat. However, the hard pieces had tendon or sinew. On some pieces I could pull the silver sinew out and use it to floss my teeth. Not palatable at all. Generally the jerky is somewhat grainy due to the spices but is palatable. A strong peppery taste permeated the jerky. I felt like some of the pieces were not mixed properly, some pieces of meat were more salty than others.<br /><br />The taste is quite enjoyable. (I'm known to eat anything... & can acquire taste) If you don't mind fishing out the bad parts...<br /><br />However, my second bag developed some kind of mold. I started on the second bag without knowing that this bag contained a mold ball right in the middle of the bag. About half way through I found the moldy meat. I had read of this occurring in some people's product but I dismissed it as a freak chance.<br /><br />The mold is white, it reminds me of bread fluff. The mold is very bitter. I just reached into the bag for a piece of jerky & bit down on a moldy piece. I promptly spat it out and saw the middle part of the bag was fully rotten. IMHO.<br /><br />Would I buy this product again?<br /><br />No. a 50% chance of getting moldy meat... Well I don't wanna chance it.",Moldy meat.
"I bought 2 boxes of these at the same time thinking I was getting a better deal than buying from the gas station. The first few I ate I didn't have any problems with. Since then, they either have mold or have been so hard that I cannot take a first bite through it (sidenote: I am an avid carnivore). They need to step up their quality control before selling this.",One of my worst Amazon purchases
These things are terrible.  They have a waxy coating and some sort of chemical on top.  The taste of the chemical is very prominent.  I can't even give these things away.,Eww
"While preparing I thought  ""wow no more electric orange color. Cool"" yet i quickly found that this was not a good thing.This tastes and looks nothing like the original Kraft macaroni and cheese. It's pale and simply tastes odd not to mention the weirdly patronizing message on the actual box. ""look how cool you are holding this organic box. People envy you for being so smart. You're a real trend setter"". I didn't notice the crap on the box until I got it home and had started preparing it.  I bought this because for whatever reason my market didn't have the regular. If this disgusting sludge makes me a trendsetter I fear what would not make me a trendsetter. Tastes terrible and comes in packaging that insults my intelligence. I may have to quit regular Kraft in protest of this insulting abomination. I know it may sound like I'm taking this too seriously, but eat a bowl of this crap while reading the horrible patronizing box and then form your opinion.",God awful
"I bought this from Amazon, and it came with two containers as if it was packaged for Costco.  The packaging was pretty, and the tea smelled and tasted great.  However, I can tell immediately that there was something familiar other than the two ingredients mentioned in the name from the taste and also from the appearance of the loose particles which you need to place them in a tea ball or paper filter yourself.<br /><br />So I take a look at the fine prints in the back of the container, and it lists ""licorice"" which I try to avoid because it is known to raise blood pressure.  It is considered dangerous especially if taken long term.  There are in fact many other side effects according to NIH.  I could not find this anywhere in the Amazon descriptions.  Very disappointed.<br /><br />[...]",Contains licorice which raises blood pressure
"I bought this without realizing that it is a product of Taiwan.  Considering all the health risks from eating foods made in China, I don't think I can trust the ingredients used in this product.  As I understand, Taiwan, Japan, and Korea, all import many food ingredients from China, and they have found many harmful chemicals in them (I am not even including those that are unsanitary, i.e. made from sewer water).  So what guarantee is there that this product do not contain carcinogens or other harmful chemicals?  FDA do not, and cannot, test every single foreign product coming into U.S.<br /><br />Eat at your own risk.",made in Taiwan?
"We tried this product, a bunch of us. And we are all vegetarian. We also do not like onion or garlic; one of the friends esp. is sensitive to this. Well, even calling the company, they are not forthcoming, because we could taste garlic in it, and compared to ""tasty eats"" soy jerky, this does not even compare.<br /><br />  So first, the ingredient ""vegetarian spices"" includes granulated garlic powder, possibly onion. In ayurvedic terms, this is not Sathwic for one's body.<br /><br />  We totally recommend the soy jerky by tasty eats. We ordered six cases of the ginger. They use no onion or garlic in any of their products. Most companies do list ""spices"" but they will almost always label garlic or onion powder separately. This company who makes the primal strips does not. After all the comparisons, we found tasty eats soy jerky to be the best taste, quality and texture.<br /><br />  In fact, they are out of Teriyaki, their best selling jerky, the original flavor, peppered and hot n' spicy. But we will order cases of them when they become available.  They provide a first class jerky that is healthy and proper for everyone; esp. vegans and vegetarians.",Not what it claims or a bit deceptive
"I have bought various coconut waters and assumed this was pretty much the same. First, I tasted it. Awful. Then I looked at the package: 15g sugar per serving, and sneakily notes that there<br />  are ""two"" servings in this little box...30g of sugar!!! No mention of that in the description - they even claim it can help you lose weight. Shame!!!",Loaded with sugar!!!  False advertising!!!
"My daughter and I loved the chebe pizza mix.  When you would open the package you would smell the oregano and it was heaven.  I just ordered more and obviously they changed the recipe.  I opened the package and was overwhelmed by the smell of vinegar.  Vinegar is not listed as an ingredient but that was what I smelled.  There was no sign of the oregano that was listed as an ingredient.  I cooked it so long that the cheese was burnt but the crust still was not browned.  It didn't rise at all and eating it was like chewing rubber.  Chebe wasn't the best rising product out there, but the taste always made up for it - now that's gone I won't be back.",Why did they change it?
"This is the kind of garbage ""food"" that gives paleo/primal a bad name.<br /><br />Whenever you see the words ""Gluten-Free"" on a product label, you should immediately be skeptical.  99% of the time you'll want to run away SCREAMING at the top of your lungs.  'Cause it's not only about gluten, it's about blood sugar spikes.  If you care about your pancreas (which you can't live without), and not becoming (or staying) diabetic, you should care about this.<br /><br />Look at the ingredient list:<br /><br />Ingredients<br />Manioc (Tapioca) Flour, Modified Manioc Starch (100% Manioc), Iodine-free Sea Salt, Basil, Garlic, Onion, Oregano. Manufactured In A Gluten-free Environment. Allergen Information: Contains No Wheat, No Soy, No Corn, No Rice, No Potato, No Yeast, No Nuts, No Peanuts, No Lactose, No Casein.<br /><br />Those first two ingredients are garbage carbs you don't want to eat no matter what.  Tapioca starch will spike your insulin faster than a Snickers bar... faster, even, than two slices of whole wheat bread.  No need to investigate further.<br /><br />But say you're still curious. Let's go to the Chebe website.  Here's where the real tale is told:<br /><br />[...]<br /><br />The box contains 10 servings, at 18 grams each - HOWEVER, you use THE ENTIRE BOX to make one pizza crust!  That's 180 grams of pure, processed carbs with zero nutritional value in one 14"" pizza crust, which is only a medium size pie.  The other ingredients you add to the crust mix are negligible carb-wise (but you still look at them): 2 eggs=1 gram, 1 cup shredded cheese=0 grams if you grate it yourself from hard, aged cheese (the pre-grated store cheeses are coated with potato starch and do add some carbs), 1/4 whole milk=2.5 grams, oil=0 grams. So 3-ish grams are added to the pie.  And now let's say you top it with tomato sauce, part-skim mozzarella and some veggies (since a pizza isn't just a crust).  Even without calculating precisely how much you're using, it's a good bet that you are adding another 30 or so carb grams.  Thus, your medium pizza pie will have 180+3+30 grams of carbs, or 213 total.  You eat half the pie, that's 106+ grams of carbs.  If you're trying to lose weight, that's more than two DAYS worth of carbs.  If you're trying to keep your blood sugar stable, you just blew that, too.<br /><br />To lose weight eating grain-free, the rule of thumb is no more than about 50 carb grams per day, no more than about 15 net carbs (carbohydrate-fiber=net carb grams) per sitting.<br /><br />And that's how you evaluate a ""Gluten-Free"" label.  Or, you could buy the product, make it, test your fasting sugar with a glucometer right before eating, then again an hour later to see firsthand what it's doing to you.  The average healthy, non-diabetic person will zoom from about 90 to 160 within an hour; then it will take another several hours after that to get back down to around 100.  Do that once a day (or several times per day) for a few years, and your problems will be over - because then you can start injecting insulin into your belly with a syringe before each meal and eat whatever you want!  And once again, the ""food"" industry and Big Pharma win.  To me, that's just sad, and the antithesis of paleo/primal eating.<br /><br />I love pizza.  I eat it all the time.  AND I eat a low-carb/high-fat diet.  In a few months, my triglycerides went from 261 to 87, and I'm no longer pre-diabetic.  That never would've happened if I were preparing meals using commercial mixes like this.  There are dozens of reputable low-carb, grain-free recipe blogs and websites out there with pizza crusts made from cheese, eggs, flax meal, nut flours, cauliflower, or even just sausage (Meatz Pizza) that are just as easy to make as this one from a processed mix, that hew to the spirit of paleo/primal eating and are far healthier to boot.",Care about your health? Run away screaming!
"These are some of the nastiest and I mean NASTIEST peanut butter treats EVER!!!!<br /><br />There are worse things, true. But it doesn't get much worse than this...<br /><br />1.5 stars.","Yuck, yuck, YUCK!!"
You are not getting 5 of the bonus packs (which should consist of 10 individual packs = total 50 individual packs); instead you will only receive 5 individual snack-sized packs.  This item is packaged incorrectly by Amazon and you will give yourself a big headache trying to work it out with Customer Service.,Do NOT Order This!
I have no idea what all these reviews for this brand of dieters tea are talking about. I followed the directions nothing happened. Brewed a stronger cup-still nothing.Even measured out the water to 6oz and let the tea bag seep for five minutes-nothing just stronger tasting tea. On the box it tells you not to drink more than 1 cup in a 24 hour period- I drank three the other day not even thinking about it and nothing happened! Just tasted like cranberry tea and nothing else. Strange.,Did Nothing
"I ordered these noodles last week, received them on Tuesday and just noticed that they have an Exp date as of August 4, 2012!!!!! Of course they cant be returned because they were opened. Waste of Money. I will never order any food items from here again. Now i dont know if they were disgusting because they are 26 days past expiration or if they are just plain gross.",EXPIRED!!!!
"I was so excited to try these noodles but very very disappointed. It wasn't the smell, which is basically rinsed away when you wash them before cooking. It was the consistency of this noodle, the texture was very slimy and difficult to register as a noodle in my mouth. My husband did like them and I'll fix them for him but they are an absolute no-go for me.",Gacky noodles
I was really hopeful after reading the positive reviews but I have to go with the people who say it's disgusting and not tolerable even for zero calories.  The fishy smell does go away but it's not easily forgotten once you've smelled it.,Disgusting
"These noodles made me very ill.  As far as taste, they do NOT absorb flavor at all.  The sauce just sits right on top and does not penetrate the noodle.  Also, the texture is very strange.  In any case, I would have continued to eat them if they had not made me ill.  The seller refused to take back the four packages that were left.  I was very unhappy with this purchase.",Miracle Noodles
"the smell started the whole experience off on a bad note. the texture was chewy, and i still couldn't get past the bad fish smell. i am gagging as i type, just thinking about it .... blech!",AWFUL!!!!!!
"I'm sorry but I gotta go with the ""nasty"" crowd here.  The smell, oye...the look, well they kind of look like little intestines...the texture, pure rubber and sort of give you the feeling of biting thru stringy grissle.  Cudos to the folks who can do them, I wish I could but there are some things I can't even do for zero calories.",Can't get past the texture
"Awful! Very slimy, rubbery texture. So disappointing! Unable to even eat them and had bought 14 pkgs. of them, to take advantage of the cost savings of no shipping.<br />Big mistake!!",Shirataki angel hair noodles
"I wish i read all the 1 star reviews before wasting my money.. i have never tasted something so horrible..i love most  health food so didn't expect to find it this bad..between the fishy smell, the consistency, the texture..everything about it..",YUCKKKKK!!! wormy texture
These noodles look like tapeworms from a zoology lab ....arghhhh...I almost threw up when I opened the package they came in filled with water ...burp!!! Gag!!! I gave them away...,Gag me with a zoology project!!!
"I heard about this product on several tv show's and decided to try it myself.  What a mistake!! It may have no calories and be healthy for you because it's fiber but why didn't anyone warn buyer's about the SMELL!  I had to hold my nose to taste it!  Needless to say, it went in the trash can.  Hubby came home and wanted to know what stunk in the kitchen.  Had to take the trash outside to the can it was so bad.<br /><br />I swear I'm not exagerating!  I write reviews on good things all the time but felt compelled to write this one.  Keep in mind, it's my opinion so you can try a bag for yourself and see if I'm right or wrong.  I followed the instructions as written just so you know. I won't be having a ""Miracle"" in my home again.",OMG Gross is putting it mildly!
I was thinking about the great number people that dislike these noodles and wondering what they would do with the extra packs they have order. I think I may have the solution Fish Bait!!! It smells bad which fish like and it is rubber-like which will stay on the hook well.  Just a thought,Good Fish Bait
"This product is supposed to help you manage your weight loss by allowing you to eat ""noodles"" without the carbs and calories in real pasta. The idea is that it fills you up with zero calories because it is made only from plant fiber. I was excited about the idea and didn't mind paying over $2.00 a bag since it's cheaper on Amazon than on the company website. When the noodles got here I followed the cooking directions and seasoned them using my favorite sauce. Then I took the first big bite. This was a mistake! The noodles have a slimey, rubbery texture that kind of pops when you bite into it. All I could imagine was that this is what eating worms must feel like. I managed to choke down the first bite and tried one more time just to be sure, but I just couldn't finish another bite. I was so disappointed. I guess maybe it's my fault for expecting these ""noodles"" to taste like real pasta. Now I have the other 5 bags just sitting in my pantry. I won't be buying these again.",Couldn't get past the consistency
I read the reviews and was hoping that the ones who received dented cans were just a fluke.  I got my box and EVERY can was dented.  Not just like the postman dropped the box; the cans were specifically selected at the packing house because they were damaged.<br /><br />The description of this item is inaccurate.  The buyers need to know that they are buying damaged goods.,Every single can dented
"We use a lot of coconut milk in our house. In addition to cooking with it, we use it in our coffee every morning. I've purchased this brand before (Native Forest Organic Classic) and the coconut milk was rich and creamy. The BPA-free can was also a strong selling point for me. However, I am VERY disappointed with this last shipment I received. There is a pronounced reduction in quality... watery milk with large gritty chunks of fat. No creaminess at all. I see from the other recent comments that other customers have experienced the same disappointment.<br /><br />The lower price and BPA-free cans become less attractive when you are receiving a sub-standard product... especially a case of it. I'd rather pay more for the other brand I purchase, Natural Value Organic Coconut Milk, and get a higher quality product.",Quality Unacceptable... used to be better
"I have liked this product in the past but the contents of every can in this shipment (twelve in all) was thin and curdled and had a peculiar grayish cast. I think coconut milk powder ( e.g., from Wilderness Family Naturals) is probably the safest bet when ordering coconut milk/cream on line.",big disappointment
I would never buy this product again because it took so much effort to get the lumps of formula dissolve. I have tried Similac and Enfamil powder formulas and never had this issue.,Lumps Would Not Dissolve
I orderd the tea just for the tin. The regular tea came in just a box (I also ordered a refill) but he elephant tin never came even though it said it was in stock. They did refund my money but the tea isn't actually any better than say twiggins from your local store... just saying. not happy,Never came
"Since I follow a low carb diet and frequently cook with erythritol, I thought this would be the perfect addition to my Breyers carb smart ice cream. I was so wrong. All I can taste is the added zinc which makes it taste bitter and nasty. My first thought is that it tastes like battery acid. All I can hope that is that it is reformulated and the bitter metallic zinc taste is removed!",Bitter tasting
"This product has a bizarre chemical taste. If you let the glass sit in your sink for an hour, it gives off an unholy chemical, perfume odor, which cannot mean good things for what it's made of. This has got to be made from some inexpensive chemical filler that tastes like chocolate for 20, minutes then reverts to its revolting base.",Avoid. This ain't Legit
"I did not realize that the items sold under the guise of ""Managers Specials"" are special because they are almost expired!  I bought the 6 pack and it was due to expire within a month...not ok.  I tried one bowl before donating the rest to a food pantry, my opinion:<br /><br />1. It takes too long too cook, I don't want to invest that much time towards cooking a bowl of porriage.<br />2.  It has a lot going on...grain wise, I think just about every kind of grain on earth is mixed in.  Which I guess is ok, if your into that type of thing.<br />3.  The taste just isn't worth the effort (it doesn't have any taste, you could be chewing on anything grainy and textured) and it would also be beneficial if the would make individual packages for easy portion servings otherwise I can't imagine why someone would make an entire pot full of this stuff??<br /><br /> I typically like whole grain, low sugar type hot cereal but this is a little too earthy for me, however, clearly some people enjoy this type of thing but it is not for everyone.",Expired and too grainy!
"I was really disappointed by this one. Brookside did such a marvellous job with both the Blueberry/Acai and the Raspberry/Gogi chocolates, even keeping the sweet/tart of the fruits intact, that I decided to take a chance on the Pomegranate, even though most places mess it up.<br /><br />Instead of getting the intense sweet/tart Pomegranate Seed taste, they got the bitter taste of the white rind! Very disappointing.",Tastes Like Pomegranate RIND
"I find it rather funny that this brand of coffee...all New England coffees in fact, go for $6.99 at the supermarkets....what a rip off here!!",*Shakes head*..
"I've been using this tea for over a year. I don't know what happened but this last  order of six boxes is just awful. Did Good Earth change the formula? Don't know but I will not be ordering this again. They have ruined a formally wonderful product!! So disappointed! However, after notifying Amazon my full purchase price was refunded. Now that is what I call great customer service! Thanks Amazon!",What have they done??
"The Good Earth Sweet and Spicy tea used to be my favorite tea- it was naturally sweet so I never had to add any sugar or honey. However, after receiving my current shipment of tea, I noticed that the taste was significantly different than the taste I was used to- the tea just didn't taste very good at all. I couldn't figure out why until I read some recent Amazon reviews mentioning that Good Earth was recently purchased by another company, which must be using inferior ingredients. Such a shame. I appreciate Amazon's great customer service- I received a full refund- but unfortunately had to cancel my subscribe and save subscription. I hope this inferior Good Earth tea will receive many complaints which will lead the new parent company to go back to the original ingredients for the tea.",Not the same Good Earth tea
"The product description for this tea on Amazon states: ""All Good Earth teas contain absolutely no ... artificial flavors ...."" What a joke. The third ingredient is ""artificial flavor""! This product used to be naturally sweetened with Stevia leaf. It apparently has some kind of artificial sweetener now. What a disappointment. I will be cancelling my ""Subscribe and Save"" subscription for this product! Don't buy this product if you don't want to be drinking some unknown artificial ingredient.",Ridiculous misrepresentation--I'm so disappointed!
"Good Earth Tea (Original Sweet and Spicy)~ whether caffeinated or decaffeinated has been my favorite tea for many years.  I am sick with disappointment over degraded and truly unrecognizable taste of this formerly perfect cup of tea. I will be telling all the friends I have introduced to the ""good old recipe"" over the years that our Good Earth Tea is no longer the same and that they should not waste their money on the new<br />recipe. I'll be taking the last four boxes I bought back to the grocery store for a refund. I called the TATA company this morning to find out the scoop on the change of the taste of the tea and to register my disappointment.  If anyone from the new Good Earth Company reads Amazon reviews, please take note of all the complaints and plead with your company to go back to the ""good old recipe"" once again!",Good Earth Tea Goes Down the Drain
"i looked forever for a good, healthy energy drink- thought this would be it but i thought the flavor was yucky and i felt jittery and then just tired.  i love peppod and will be going back to that.",thought it would be better
The product was wet in the tube as if the tube was not seiled correctly.,zip fizz
"What a surprise when I only received 3 bars total!  The seller blamed it on Amazon putting in the wrong information.  The ad was marked as sold out for a few days.  Yesterday I was checking and the same ad was back on.  When I contacted the seller they again blamed Amazon.  They were again offering a pack of 12 for $[...].  Today they have changed it to a pack of 12 for $[...].  I will be keeping a close eye on them and hope you do too!  An honest seller would have checked their listing and honored their ad. They are saying that Amazon confused thier listing with other sellers of this same product.  They are the only ones selling Lindt Excellence Dark Chocolate 70-Percent Cocoa Bars, 3.5-Ounce Bars (Park of 12).  How could Amazon have gotten this confused! The seller should always check their listing.",Misrepresentation and blaming others.
"Of 6 cans, 5 cans were badly dented. It looked like someone may have dented them with a hammer. Don't take a chance. Stay away from this product.",Delivered badly dented.
"This is the worst Mukwas I have ever tasted -- like pieces of raw twigs in among the small sugar balls.  Frankly, I threw it out.",Raw and unappetizing
"Texmati is a brand name that mimics the word Basmati and this rice should not be mistaken to Basmati Rice that grows in the foothills of the Himalayas. Basmati rice is known for its long chain carbohydrates structure (conversion of starch into sugar is slower) vs short chain carbohydrates in any other type of rice, including Texmati, a glorified name for long grain American rice thats no different than any other brand long grain American rice, where starch turns into sugar fast and not suitable for healthy eating, especially diabetics (unlike genuine Basmati). For the same price or less you can shop at a local Trader Joes and pick up genuine Organic Basmati from India. Avoid this product its a total ripoff. Not the real deal.",Not Genuine Basmati
"The dry product is extremely fine, almost powdery. The cooked product is mushy and doesn't even taste like grits to me. I like the coarse stone ground grits which haven't been de-germed. Regular white grits from the grocery store is preferable to this product. I will donate the three unopened boxes to our local food bank.",Not for true grits lovers
When I recieved  my case of Keebler Waffle Cones the box  was crunched up in a few areas.  Mostly at the corners.  I opened the box and some of the cone boxes were also crushed a little.  You could shake the boxes and tell they were broken.  I opened each box and out of the 6 boxes 90& of the cones were broken.  I called Amazon and they were sincerely apologetic and sent me another case.  Unfortunately the same thing happened.  I didn't bother calling this time.  I was afraid they would think I was scamming them.  I think between the 2 cases(12 boxes) I got 5 boxes of cones if you took all the damaged ones out.  When I say damaged I don't mean cones with just a little bit broken.  I  mean totally unable to use at all.,All Broken Up
Regular flavor Budda Bones are great for my dogs but they apparently do not care for the minty flavor on these.,My dogs do not like the flavor
"I am a big fan of Summer Susages and this has to be the worst one I have ever had.  The consistanty is that of a paste that has been form pressed into the shape of a susage.  I had to put it in the freezer to give it any firmness at all.  That alone makes it entirly unappealing as I feel like I am squishing a pureed form of fat in my mouth.  The flavor is not too bad, but it is pretty clearly all artificial.  I would highly recomend avoiding this product and go with another brand.  I would rate this zero stars if I could but 1 star was as low as it would go.",Bad taste and consistancy
"I've loved using NuStevia for 5 years.<br /><br />I tried using this stevia instead.  It's won't dissolve in HOT coffe.<br /><br />It takes 9 packets of this brand instead of 2 packets of other brands.<br /><br />Customer service refuses to pay for me to ship this back to them.<br /><br />Do not waste your money on this diluted, non-disolving stevia.  It's cheaper to buy a more concentrated brand that will disolve in coffee.","1/10 as strong as other brands, won't disolve in HOT coffee"
"I'm usually impressed with this brand's stevia products, but not with these individually packed ones. These don't taste sweet in the slightest; tastes more like paper! Also, the ones I got were packed in a white wrapper, not blue like the picture shows.",tastes like paper!
"I am extremely dissatisfied with the product and customer service from this company (Barry Farm). It says on the page for this product ""Usually ships within 6 to 10 days"". I ordered this product over three and a half weeks ago and just received it. I was still charged over $8.00 for shipping (more than the item was worth). I took precautions for the product not to sit in the sun and melt, ordering it so it would be delivered on a day I was home. This effort failed; the shipping and delivery dates changed...twice. I got an email from Amazon stating that they had not received notification of shipping from the seller (Barry Farm). I emailed the seller, received no response. I then got an email from Amazon a day later with a delivery time frame. The product did not arrive during the stated time frame (late). When it finally arrived, I received a bag of melted goo. But the interesting thing was, it was evident that the product had melted before, re-hardened, and then began to melt again in my mailbox. Due care was not taken to package the product in a manner that MAY have helped prevent such damage. I will not be ordering from this company again.",Unsatisfactory
"I ordered  Yogi Green Tea Kombucha Decaf but I was sent the one with caffeine. This was my first time to order this tea after drinking it a relative's house. The packing slip showed that it was decaf, so I did not really examine the box before opening. After drinking the tea and having sleepless nights and fast heartbeats I checked the box and found that the tea had caffeine. I have a health problem which is made worse by caffeine. I would advise everyone to be careful and examine the contents of the box before consuming it.",Sent the wrong Yogi Kombucha green tea decaf
"I personally love all the goods and commodities from Amazon --  most of the time, they're on par or above expectations, and when they're not, you can always return them without big hassle. This pack of prunes, however, is a nightmare. I had it in the morning, and haven't been without a stomach pain since. My advice is to stay away from it. Well, unless you've had it before and loved it without any issues.",This thing brings stomach pain and diarrhea
"Well sure, it's literally chocolate water but it tastes terrible!  Not creamy or rich or...good.  My fiance likes iced coffee so I brew one chocolate and one coffee, needs some milk but tastes ok.  I won't but it again.",Chocolate water
"My mother loves hot chocolate, so when she got her Keurig she got this cocoa as well.  It has a strange aftertaste that reminds me of plastic.  It's also very watered down if you use anything but the smallest cup setting.  This product isn't worth the money!",Plastic aftertaste
Made of Vegeplast's bioplastic. Requires a significantly harder push on the Nespresso lever to punture the thick capsule. Coffee tastes mediocre and is nowhere near the quality of real Nespresso aluminum capsules. These Ethical Coffee capsules are only 10 cents less than the .60 cents each real Nespresso capsules ordered directly from Nespresso with $6.95 two day shipping. Amazon does not allow returns of these/food item.,Strange Item
"I was pretty excited after reading the TImes article and seeing that the price was significantly lower than the Nespresso capsules - especially as I didn't have to worry about shipping costs as an Amazon Prime customer.  Unfortunately, the flavor & quality just doesn't make it for me.  I won't be ordering these again.","IF YOU LIKE STRONG ESPRESSO, DO NOT ORDER THESE!"
"My baby girl choked on this!!  She had been eating food for sometime and even had food ""from the table"".  I packed this because we were going to a local festival and was worried there wouldn't be much there she would be able to eat.  She appeared to be chewing the spaghetti and seemed just fine.  All of a sudden she began choking and I had to clear her throat.  The spaghetti had ""gummed up"" and formed a ball in the back of her throat.  The experience was absolutely horrible.  Please keep a close eye on your little one if you choose to feed this and be sure to feed extra slow!",Beware!!
These reviews are wrong.It may work but I could not swallow this disgusting swill. I have many Teas. Let me describe this one. Get compost from a gardening store and brew that in a french press. The burnt leaf taste is pungent. Take the pills and buy some earl grey.,This is the foulest Tea ever
This item was so nasty I got through less than half a bar.<br />The texture is awful and the taste is horrid.,NASTY - NOT IMPRESSED
"I ordered the 10 oz crab cakes.  Usually you expect a shell or so, but not in EVERY bite.  The 'lump' was not all lump meat either.  These were a great disappointment. The flavor is fine, but I would never order these again.  I have found G&M crab cakes to be true lump and much better than these.",Not good
"I tried this tea as my introduction to Rooibos.  I was very excited after hearing of the benefits of rooibos.  To my dissapointment I thought this tea was disgusting!<br /><br /> Luckily, I didn't give up and tried other brands (Numi and Yogi are great) of rooibos and they were all fantastic.  This tea has a stale vanilla taste that completely covers up the natural flavor of rooibos.  Stay away from this tea.  Plain rooibos without added flavors is perfect on it's own.",Worst Rooibos
"I bought these because I have one dog that is allergic to corn, and all the other pill pockets have corn, while these don't.  I have used this product in the past, with good results, and this company was selling them at a good price, so I thought I'd try them.  It took almost three weeks for them to ship, and they only did so after I finally asked when they would be shipping.  I finally got the pill pockets, and it turned out that they sent me the wrong ones, which have corn in them. I contacted the company, and they sent me a return label (which only took 2 days) and told me they'd put the money back on my credit card. It's been a week and a half since I sent the product back to them, and I'm still waiting for my money.  I will not buy anything from them again.",Wish they had done better
"I have been a lover of licorice for over fifty years, I was left very disappointed with the second delivery of this product.  Although very pleased with the first order of these Dutch candies, the second order arrived and tasted like black Kraft caramels.  They completely lacked the strong, tangy flavor of the first batch.  I don't know what happened, but it definitely was not worth the price of the candy.  If I wanted Kraft caramels, I would have purchased them at a local grocery store.",Flaccid Tasting
